time,ion_current_M2,ion_current_M44,potential,current1_mA,coll_current,current1,current1_muA,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
148.0,4.608221368131868e-09,3.8983561325966853e-10,0.3907299310344826,-6.879310344825722e-05,,-6.87931034482572e-08,-0.06879310344825723,-5.98255021249572e-11,-6.877270870233088e-11,8.947206577373677e-12,4.598114240835391e-09,3.9363924341478073e-10,-3.803630155112202e-12,-9.143063880538306e-12,5.3394337254261036e-12,3.896537884615385e-10,1.818247981300416e-13
148.05,4.608360104395604e-09,3.9068696685082887e-10,0.3913525263157896,-0.00031657894736843915,,-3.165789473684391e-07,-0.3165789473684391,-5.897414853379686e-11,-6.877161688540343e-11,9.797468351606567e-12,4.598124543546222e-09,3.936535730409537e-10,-2.966606190124784e-12,-9.155685681541584e-12,6.1890794914167986e-12,3.896537884615385e-10,1.033178389290384e-12
148.1,4.60849884065934e-09,3.899845767955804e-10,0.3905551379310348,-0.000400793103448272,,-4.0079310344827187e-07,-0.4007931034482719,-5.967653858904534e-11,-6.877052427921341e-11,9.09398569016808e-12,4.5981348476770874e-09,3.936678995422538e-10,-3.6833227466734755e-12,-9.168305863124263e-12,5.484983116450788e-12,3.896537884615385e-10,3.307883340419006e-13
148.15,4.608637576923077e-09,3.8855101325966864e-10,0.3901099655172414,-0.0003976896551724123,,-3.9768965517241226e-07,-0.3976896551724123,-6.111010212495714e-11,-6.876943088336033e-11,7.659328758403198e-12,4.598145153222659e-09,3.93682222919108e-10,-5.131209659439428e-12,-9.180924424080297e-12,4.049714764640871e-12,3.896537884615385e-10,-1.1027752018698942e-12
148.20000000000005,4.608195165745856e-09,3.8711744972375685e-10,0.39073396428571466,-0.0003689642857142719,,-3.689642857142719e-07,-0.3689642857142719,-6.254366566086898e-11,-6.876833669744365e-11,6.224671036574651e-12,4.598155460177611e-09,3.936965431719429e-10,-6.579093448186158e-12,-9.193541363203646e-12,2.6144479150174883e-12,3.896537884615385e-10,-2.5363387377817404e-12
148.25,4.607658149171271e-09,3.858489549450546e-10,0.3912748571428572,-0.00033314285714285835,,-3.331428571428584e-07,-0.3331428571428584,-6.381216043957115e-11,-6.876724172106284e-11,4.955081281491708e-12,4.598165768536619e-09,3.937108603011848e-10,-7.861905356130225e-12,-9.206156679288263e-12,1.3442513231580394e-12,3.896537884615385e-10,-3.804833516483891e-12
148.3,4.607121132596685e-09,3.8716653736263735e-10,0.3905078474576271,-0.0002713389830507494,,-2.713389830507494e-07,-0.2713389830507494,-6.249457802198832e-11,-6.876614595381751e-11,6.271567931829173e-12,4.598176078294355e-09,3.937251743072604e-10,-6.558636944622981e-12,-9.218770371128113e-12,2.66013342650513e-12,3.896644596685082e-10,-2.497922305870834e-12
148.35,4.607017110497237e-09,3.884841197802194e-10,0.390365,-2.9508771929831334e-05,,-2.9508771929831337e-08,-0.029508771929831337,-6.117699560440629e-11,-6.876504939530715e-11,7.588053790900862e-12,4.5981863894454946e-09,3.937394851905965e-10,-5.255365410377042e-12,-9.231382437517145e-12,3.976017027140103e-12,3.896759359116026e-10,-1.1918161313832028e-12
148.4,4.6082842375690605e-09,3.898017021978023e-10,0.390365,-0.00010494736842105488,,-1.049473684210549e-07,-0.1049473684210549,-5.985941318682348e-11,-6.876395204513141e-11,8.904538858307936e-12,4.598196701984718e-09,3.937537929516192e-10,-3.952090753816957e-12,-9.243992877249321e-12,5.291902123432363e-12,3.8968475e-10,1.1695219780224602e-13
148.45000000000005,4.609551364640885e-09,3.9029603259668484e-10,0.3919057457627123,-0.00030640677966107383,,-3.064067796610739e-07,-0.30640677966107394,-5.936508278794082e-11,-6.876285390288991e-11,9.397771114949075e-12,4.598207015906699e-09,3.9376809759075565e-10,-3.472064994070651e-12,-9.256601689118599e-12,5.784536695047949e-12,3.896880088397791e-10,6.080237569058432e-13
148.5,4.610818491712707e-09,3.8965349116022114e-10,0.3912880689655172,-0.00038225862068965545,,-3.8225862068965545e-07,-0.3822586206896555,-6.000762422440466e-11,-6.876175496818228e-11,8.754130743777634e-12,4.5982173312061106e-09,3.9378239910843123e-10,-4.12890794821015e-12,-9.269208871918946e-12,5.140300923708797e-12,3.896923978021978e-10,-3.8906641976691735e-14
148.55,4.611414972527473e-09,3.8901094972375686e-10,0.39146678181818223,-0.00039783636363636754,,-3.978363636363675e-07,-0.3978363636363675,-6.065016566086882e-11,-6.876065524060814e-11,8.110489579739306e-12,4.598227647877635e-09,3.937966975050732e-10,-4.7857477813162896e-12,-9.281814424444321e-12,4.496066643128031e-12,3.8969455138121567e-10,-6.836016574587597e-13
148.6,4.611600412087912e-09,3.8836840828729315e-10,0.3926923448275861,-0.00030875862068968147,,-3.0875862068968143e-07,-0.3087586206896814,-6.129270709733263e-11,-6.875955471976709e-11,7.46684762243446e-12,4.5982379659159424e-09,3.9381099278110806e-10,-5.4425844938149615e-12,-9.294418345488684e-12,3.8518338516737236e-12,3.8969492541436397e-10,-1.3265171270708744e-12
148.65,4.611785851648352e-09,3.88552717679558e-10,0.3930321818181818,-0.00016123636363637146,,-1.6123636363637145e-07,-0.16123636363637148,-6.110839770506775e-11,-6.875845340525878e-11,7.650055700191037e-12,4.598248285315713e-09,3.938252849369615e-10,-5.272567257403523e-12,-9.30702063384601e-12,4.034453376442487e-12,3.8969492541436397e-10,-1.1422077348059894e-12
148.70000000000005,4.611971291208792e-09,3.8894373977900564e-10,0.3928259016393443,-0.00018480327868850176,,-1.8480327868850175e-07,-0.18480327868850174,-6.071737560562009e-11,-6.875735129668286e-11,8.039975691062754e-12,4.5982586060716246e-09,3.9383957397306067e-10,-4.8958341940550874e-12,-9.319621288310252e-12,4.423787094255164e-12,3.8970747292817686e-10,-7.637331491712787e-13
148.75,4.607499215469613e-09,3.8933476187845293e-10,0.3931086885245901,-0.00010037704918034359,,-1.0037704918034359e-07,-0.1003770491803436,-6.03263535061727e-11,-6.87562483936389e-11,8.429894887466202e-12,4.598268928178354e-09,3.938538598898312e-10,-4.519098011378164e-12,-9.332220307675374e-12,4.813122296297209e-12,3.8971571153846163e-10,-3.8094966000854953e-13
148.8,4.602932088397789e-09,3.896062956043955e-10,0.39094484210526265,-0.00028563157894741546,,-2.8563157894741546e-07,-0.2856315789474155,-6.005481978023019e-11,-6.875514469572657e-11,8.700324915496385e-12,4.598279251630576e-09,3.9386814268769964e-10,-4.2618470833040985e-12,-9.344817690735332e-12,5.082970607431234e-12,3.897160010989011e-10,-1.0970549450557049e-13
148.85,4.5983649613259685e-09,3.893334934065934e-10,0.3904154137931035,-0.00033301724137930496,,-3.33017241379305e-07,-0.33301724137930505,-6.032762197803233e-11,-6.87540402025455e-11,8.426418224513173e-12,4.598289576422969e-09,3.9388242236709263e-10,-4.548928960499174e-12,-9.357413436284092e-12,4.808484475784918e-12,3.8971625494505467e-10,-3.82761538461324e-13
148.9,4.595235248618785e-09,3.8906069120879116e-10,0.390365,-0.00037939999999999995,,-3.794e-07,-0.3794,-6.060042417583457e-11,-6.875293491369533e-11,8.152510737860752e-12,4.598299902550675e-09,3.938966989284359e-10,-4.836007719644738e-12,-9.370007543115623e-12,4.5339998234708845e-12,3.8972026022099515e-10,-6.595690122039425e-13
148.95000000000005,4.59466093922652e-09,3.8878788901098886e-10,0.3902789999999999,-0.00028649999999987767,,-2.8649999999987763e-07,-0.2864999999998777,-6.087322637363686e-11,-6.875182882877572e-11,7.878602455138849e-12,4.5983102300088426e-09,3.939109723721561e-10,-5.12308336116725e-12,-9.382600010023884e-12,4.259516648856635e-12,3.8972026022099515e-10,-9.323712100062382e-13
149.0,4.594086629834254e-09,3.884882276243093e-10,0.39019299999999996,-0.0001466101694915165,,-1.4661016949151648e-07,-0.1466101694915165,-6.117288776031642e-11,-6.875072194738635e-11,7.577834187069924e-12,4.5983205587923224e-09,3.9392524269867886e-10,-5.43701507436961e-12,-9.39519083580285e-12,3.958175761433239e-12,3.8972028011049776e-10,-1.2320524861884597e-12
149.05,4.593512320441989e-09,3.881656861878452e-10,0.3908439454545457,-0.00010998181818181709,,-1.0998181818181708e-07,-0.10998181818181707,-6.149542919678054e-11,-6.87496142691269e-11,7.254185072346372e-12,4.59833088889559e-09,3.939395099084307e-10,-5.77382372058553e-12,-9.407780019246482e-12,3.633956298660952e-12,3.8973128287292816e-10,-1.5655966850829692e-12
149.1,4.598084362637362e-09,3.878431447513812e-10,0.3929696885245901,-9.7e-05,,-9.7e-08,-0.097,-6.18179706332445e-11,-6.874850579359714e-11,6.930535160352633e-12,4.5983412203127075e-09,3.93953774001838e-10,-6.110629250456758e-12,-9.42036755914876e-12,3.3097383086920016e-12,3.897316406593408e-10,-1.888495907959604e-12
149.15,4.604464582417584e-09,3.8752060331491706e-10,0.3931114918032788,-9.7e-05,,-9.7e-08,-0.097,-6.214051206970867e-11,-6.874739652039679e-11,6.606884450688117e-12,4.598351553037245e-09,3.9396803497932624e-10,-6.4474316644091864e-12,-9.432953454303655e-12,2.9855217898944704e-12,3.897336165745857e-10,-2.2130132596686273e-12
149.20000000000005,4.610844802197804e-09,3.875198585635359e-10,0.3907657272727263,-9.7e-05,,-9.7e-08,-0.097,-6.214125682108983e-11,-6.874628644912562e-11,6.605029628035791e-12,4.598361887062753e-09,3.939822928413222e-10,-6.462434277786318e-12,-9.445537703505156e-12,2.9831034257188357e-12,3.89738094475138e-10,-2.2182359116021117e-12
149.25,4.616026088397791e-09,3.875470961325967e-10,0.3904987777777778,-0.00032411111111111117,,-3.241111111111111e-07,-0.3241111111111111,-6.211401925202904e-11,-6.874517557938343e-11,6.6311563273543896e-12,4.598372222383396e-09,3.939965475882514e-10,-6.449451455654651e-12,-9.458120305547236e-12,3.008668849892584e-12,3.897387538461531e-10,-2.191657713556435e-12
149.3,4.610416972375691e-09,3.875743337016575e-10,0.390315440677966,-0.0004005932203389869,,-4.0059322033898687e-07,-0.4005932203389869,-6.208678168296825e-11,-6.874406391076998e-11,6.657282227801717e-12,4.598382558993333e-09,3.9401079922054e-10,-6.436465518882488e-12,-9.470701259223881e-12,3.0342357403413906e-12,3.897387538461531e-10,-2.1644201444956456e-12
149.35,4.604807856353595e-09,3.883267598901093e-10,0.3913519642857139,-0.00039767857142857454,,-3.9767857142857453e-07,-0.39767857142857455,-6.133435549451642e-11,-6.8742951442885e-11,7.40859594836857e-12,4.5983928968867275e-09,3.9402504773861415e-10,-5.6982878485049065e-12,-9.483280563329068e-12,3.784992714824161e-12,3.897387538461531e-10,-1.411993956043828e-12
149.4,4.5991987403314945e-09,3.907712928571429e-10,0.3915118214285713,-0.0002690714285714127,,-2.690714285714127e-07,-0.2690714285714127,-5.888982252748279e-11,-6.874183817532831e-11,9.852015647845518e-12,4.598403236057739e-09,3.940392931428997e-10,-3.2680002857567944e-12,-9.495858216656774e-12,6.2278579308999805e-12,3.897387538461531e-10,1.0325390109898124e-12
149.45000000000005,4.5952037237569055e-09,3.9321582582417663e-10,0.3909910727272738,-0.00010750909090910464,,-1.0750909090910466e-07,-0.10750909090910464,-5.64452895604491e-11,-6.87407241076997e-11,1.2295434547250595e-11,4.5984135765011715e-09,3.9405353543382286e-10,-8.377096096462344e-13,-9.508434218000977e-12,8.670724608354741e-12,3.897387538461531e-10,3.477071978023504e-12
149.5,4.592957314917128e-09,3.9566035879120887e-10,0.3921363818181817,-0.00018358181818181368,,-1.8358181818181373e-07,-0.18358181818181368,-5.40007565934168e-11,-6.873960923959899e-11,1.4738852646182187e-11,4.598423918211907e-09,3.940677746118089e-10,1.5925841793998971e-12,-9.52100856615565e-12,1.1113592745555548e-11,3.897387538461531e-10,5.921604945055801e-12
149.55,4.590710906077347e-09,3.949676839778997e-10,0.3898919090909091,-0.00037645454545455037,,-3.7645454545455047e-07,-0.3764545454545505,-5.469343140672602e-11,-6.873849357062597e-11,1.4045062163899955e-11,4.5984342611845096e-09,3.9408201067728433e-10,8.856733006153865e-13,-9.53358125991477e-12,1.0419254560530157e-11,3.897447906077345e-10,5.222893370165228e-12
149.6,4.58846449723757e-09,3.926588718232042e-10,0.39019299999999996,-0.0004051428571428487,,-4.051428571428487e-07,-0.40514285714284864,-5.700224356142159e-11,-6.873737710038047e-11,1.1735133538958876e-11,4.598444605412994e-09,3.9409624363067517e-10,-1.4373718074710294e-12,-9.546152298072316e-12,8.108780490601285e-12,3.897447906077345e-10,2.9140812154696567e-12
149.65,4.590240461538462e-09,3.9035005966850733e-10,0.39019299999999996,-0.00035871428571427634,,-3.587142857142762e-07,-0.3587142857142763,-5.931105571611845e-11,-6.873625982846224e-11,9.425204112343789e-12,4.598454950890603e-09,3.9411047347240647e-10,-3.760413803899195e-12,-9.558721679422268e-12,5.798307875523072e-12,3.897447906077345e-10,6.052690607727924e-13
149.70000000000005,4.5926712307692316e-09,3.881830563535921e-10,0.3904860370370372,-0.0003405185185185125,,-3.405185185185125e-07,-0.34051851851851256,-6.147805903103362e-11,-6.873514175447112e-11,7.257082723437498e-12,4.5984652976095865e-09,3.941247002029049e-10,-5.941643849312844e-12,-9.571289402758604e-12,3.6296455534457616e-12,3.897447906077345e-10,-1.5617342541423752e-12
149.75,4.595102e-09,3.894194651933706e-10,0.392130152542373,-0.0003258983050847448,,-3.2589830508474477e-07,-0.3258983050847448,-6.024165019125512e-11,-6.873402287800688e-11,8.492372686751763e-12,4.598475645561362e-09,3.9413892382259537e-10,-4.71945862922481e-12,-9.583855466875304e-12,4.864396837650494e-12,3.897447906077345e-10,-3.253254143638717e-13
149.8,4.5967259171270716e-09,3.9065587403314974e-10,0.3926736428571427,-0.00035105357142859453,,-3.510535714285946e-07,-0.3510535714285946,-5.900524135147589e-11,-6.873290319866936e-11,9.727661847193476e-12,4.598485994736781e-09,3.941531443319042e-10,-3.4972702987542966e-12,-9.59641987056634e-12,6.099149571812044e-12,3.897447906077345e-10,9.110834254153557e-13
149.85,4.595489176795579e-09,3.918922828729283e-10,0.39283183606557387,-0.00027285245901634893,,-2.72852459016349e-07,-0.272852459016349,-5.7768832511697387e-11,-6.873178271605837e-11,1.0962950204360984e-11,4.598496345126345e-09,3.9416736173125725e-10,-2.2750788583289056e-12,-9.608982612625693e-12,7.333903754296787e-12,3.897524817679557e-10,2.1398011049726193e-12
149.9,4.5942524364640875e-09,3.927002307692309e-10,0.392346666666666,-0.0002156491228070808,,-2.156491228070808e-07,-0.2156491228070808,-5.696088461539487e-11,-6.873066142977375e-11,1.1769776814378886e-11,4.598506696720386e-09,3.9418157602107983e-10,-1.4813452518489656e-12,-9.621543691847336e-12,8.14019843999837e-12,3.8975497692307695e-10,2.9452538461539062e-12
149.95000000000005,4.593015696132596e-09,3.9291649450549465e-10,0.3907585714285722,-0.00035714285714279973,,-3.571428571427997e-07,-0.3571428571427997,-5.6744620879131136e-11,-6.872953933941534e-11,1.1984918460284215e-11,4.598517049508936e-09,3.9419578720179813e-10,-1.279292696303475e-12,-9.634103107025242e-12,8.354810410721767e-12,3.8975497692307695e-10,3.161517582417645e-12
150.0,4.5941807790055235e-09,3.931327582417583e-10,0.3929450793650798,-0.0001801587301586998,,-1.8015873015869985e-07,-0.18015873015869985,-5.65283571428675e-11,-6.872841644458303e-11,1.2200059301715533e-11,4.598527403481599e-09,3.9420999527383696e-10,-1.0772370320787224e-12,-9.646660856953382e-12,8.569423824874661e-12,3.8975497692307695e-10,3.3777813186812805e-12
150.05,4.596947077348066e-09,3.9334902197802203e-10,0.3911396999999992,-0.0003109000000000596,,-3.109000000000596e-07,-0.3109000000000597,-5.631209340660371e-11,-6.87272927448766e-11,1.2415199338272885e-11,4.598537758627426e-09,3.9422420023762263e-10,-8.751782596005503e-13,-9.659216940425736e-12,8.784038680825187e-12,3.897524817679557e-10,3.5965402100663022e-12
150.1,4.599713375690607e-09,3.9304359613259685e-10,0.3904320508474576,-0.00036537288135593294,,-3.6537288135593306e-07,-0.3653728813559331,-5.661751925202889e-11,-6.87261682398959e-11,1.2108648987867018e-11,4.5985481149350365e-09,3.9423840209358067e-10,-1.1948059609838746e-12,-9.671771356236273e-12,8.476965395252397e-12,3.897447906077345e-10,3.298805524862364e-12
150.15,4.602479674033149e-09,3.9259102707182326e-10,0.3902805636363636,-0.0003803454545454582,,-3.8034545454545826e-07,-0.3803454545454583,-5.7070088312802474e-11,-6.872504292924087e-11,1.1654954616438385e-11,4.598558472392892e-09,3.9425260084213636e-10,-1.6615737703131029e-12,-9.684324103178958e-12,8.022750332865855e-12,3.897387538461531e-10,2.8522732256701308e-12
150.20000000000005,4.610111153846155e-09,3.9213845801104966e-10,0.3901277586206896,-0.00038255172413792445,,-3.8255172413792455e-07,-0.3825517241379245,-5.752265737357603e-11,-6.87239168125113e-11,1.1201259438935282e-11,4.5985688309895675e-09,3.942667964837155e-10,-2.12833847266582e-12,-9.696875180047758e-12,7.568536707381937e-12,3.89738094475138e-10,2.400363535911703e-12
